id,probability
1,0.142968178
2,0.114032686
3,0.353552103
4,0.758080721
5,0.832009643
6,0.353552103
7,0.804333866
8,0.082669735
9,0.563348144
10,0.436131299
11,0.139911175
12,0.625509262
13,0.447984457
14,0.447758794
15,0.366496682
16,0.106930017
17,0.747818887
18,0.402306437
19,0.100402296
20,0.323773444
21,0.154064357
22,0.4222911
23,0.485313714
24,0.592140734
25,0.180076063
26,0.154593825
27,0.752134129
28,0.549343824
29,0.774802759
30,0.378604352
31,0.067195415
32,0.091309488
33,0.082669735
34,0.143115759
35,0.132949471
36,0.447674751
37,0.172408521
38,0.118260384
39,0.168283224
40,0.190145731
41,0.091309488
42,0.197443545
43,0.330333948
44,0.519862056
45,0.405777633
46,0.414003313
47,0.182703495
48,0.193708837
49,0.199667275
50,0.399355888
51,0.358541608
52,0.108135045
53,0.365993738
54,0.614753366
55,0.177502394
56,0.585678339
57,0.457395136
58,0.17117101
59,0.177967668
60,0.115483463
61,0.09763974
62,0.067195415
63,0.286943853
64,0.410467088
65,0.213779926
66,0.385385334
67,0.816714436
68,0.35395205
69,0.144637346
70,0.69330579
71,0.143115759
72,0.178540647
73,0.091973364
74,0.506495237
75,0.12505424
76,0.111376941
77,0.654379159
78,0.098861337
79,0.067195415
80,0.09763974
81,0.439741611
82,0.193708837
83,0.748021662
84,0.501179039
85,0.097182989
86,0.318104148
87,0.379961193
88,0.643523127
89,0.490506768
90,0.144637346
91,0.118709862
92,0.082669735
93,0.156146049
94,0.240547121
95,0.459005594
96,0.193708837
97,0.09763974
98,0.165050626
99,0.353552103
100,0.135547221
101,0.225857198
102,0.135547221
103,0.72312367
104,0.592379987
105,0.139573216
106,0.346925437
107,0.711968154
108,0.161314845
109,0.067195415
110,0.951556899
111,0.121713698
112,0.115268409
113,0.112465739
114,0.242931306
115,0.38743335
116,0.135547221
117,0.115483463
118,0.122462988
119,0.148808181
120,0.344029605
121,0.472570837
122,0.226994812
123,0.175806403
124,0.110671759
125,0.625509262
126,0.373892486
127,0.323729992
128,0.289253592
129,0.09763974
130,0.365993738
131,0.131706059
