id,Probabilities
1,0.002686073
2,0.002718403
3,0.006692913
4,0.004721323
5,0.003754865
6,0.006679158
7,0.003410546
8,0.000460488
9,0.004330912
10,0.002353485
11,0.002590355
12,0.006585844
13,0.00314861
14,0.004302044
15,0.001674195
16,0.001348372
17,0.002708271
18,0.006065934
19,0.001119812
20,0.004516593
21,0.001692854
22,0.001518949
23,0.001752479
24,0.00332425
25,0.001873858
26,2.43E-06
27,0.002195768
28,0.003290292
29,0.004985809
30,0.004394286
31,0.000835206
32,0.001853387
33,0.001358069
34,0.001896979
35,0.001492141
36,0.003597072
37,0.003115652
38,0.000460459
39,0.003132324
40,0.001843633
41,0.002430882
42,0.003239672
43,0.000554373
44,0.003089069
45,0.003213797
46,0.001849966
47,0.00448167
48,0.004874625
49,0.004047523
50,0.002801472
51,0.006044499
52,0.001936516
53,0.005126481
54,0.003276816
55,0.002286283
56,0.006190677
57,0.002246078
58,0.004149416
59,0.004674642
60,0.000896152
61,0.001437831
62,0.001244432
63,0.04201998
64,0.000168759
65,0.002826647
66,0.000867637
67,0.003276571
68,0.001762205
69,0.00361751
70,0.004609725
71,0.002803294
72,0.003329554
73,0.000815198
74,0.001542823
75,0.002884083
76,0.002130563
77,0.003271057
78,0.001567898
79,0.001355059
80,0.001030004
81,0.003894619
82,0.004756322
83,0.002437334
84,0.00205992
85,0.001085003
86,0.000383574
87,0.001735664
88,0.001166837
89,0.0021965
90,0.003735957
91,0.00298739
92,0.000199782
93,0.002019669
94,0.003814446
95,0.006000398
96,0.004844626
97,0.000305911
98,0.00165732
99,0.005034109
100,0.003480805
101,0.000786498
102,0.002026598
103,0.002513605
104,0.005492672
105,0.002572966
106,0.001996928
107,0.001623135
108,0.000655467
109,0.0004378
110,0.008450113
111,0.001267176
112,0.004398196
113,0.000818047
114,0.003432667
115,0.0004634
116,0.002311801
117,0.000632585
118,0.002954544
119,0.002799972
120,0.002529846
121,0.003474614
122,0.003386938
123,0.002760129
124,0.001808289
125,0.006408526
126,0.004095092
127,0.001124253
128,0.002089147
129,0.000898712
130,0.003433245
131,0.001555904
132,0.005042526
133,0.002334647
134,0.002737192
135,0.008380647
136,0.004104026
137,0.004920078
138,0.003132376
139,0.003695818
140,0.003447765
141,0.003378539
142,0.001826326
143,0.005526625
144,0.002687469
145,0.004515615
146,0.004029816
147,0.004224439
148,0.004184084
149,0.006065544
150,0.000285287
151,0.001074879
152,0.005263012
153,0.003072634
154,0.003808747
155,0.003484105
156,0.001425202
157,0.004527921
158,0.003100887
159,0.002088964
160,0.002489066
161,0.002300627
162,0.00030721
163,0.025605209
164,0.005017265
165,0.008524822
166,0.004584563
167,0.000597493
168,0.00383183
169,0.00335407
170,0.001879813
171,0.003647562
172,0.001405484
173,0.004410774
174,0.00116727
175,0.004150499
176,0.006600355
177,0.003586107
178,0.003397754
179,0.003451934
180,0.001246017
181,0.003233458
182,0.001985426
183,0.004471234
184,0.003276533
185,0.001656788
186,4.89E-33
187,0.002980772
188,0.00450532
189,0.004084546
190,0.001557573
191,0.002828346
192,0.002019393
193,0.000506406
194,0.002899958
195,0.000824033
196,0.001947079
197,0.002191227
198,0.003806587
199,0.00176486
200,0.00198543
201,0.004134763
202,0.003364497
203,0.004190656
204,0.002988715
205,0.002929913
206,0.002401153
207,0.001219913
208,0.003165635
209,0.002287634
210,0.004385531
211,0.004913471
212,0.000906727
213,0.008811922
214,0.00391024
215,0.005119662
216,0.011868594
217,0.001761198
218,0.03025164
219,0.00042317
220,0.004416851
221,0.003780489
222,0.004287517
223,0.00569428
224,0.004973401
225,0.003933748
226,0.003194145
227,0.005340717
228,0.000950514
229,0.000732483
230,0.000417695
231,0.004084786
232,0.000736219
233,0.001594596
234,0.000615673
235,0.004481706
236,0.000361651
237,0.001877447
238,0.005962303
239,0.002485122
240,0.000947624
241,0.01209937
242,0.001251638
243,0.000330876
244,0.003968624
245,0.004190681
246,0.000781681
247,0.000911519
248,0.003141587
249,0.002696406
250,0.003532898
