Id,Probability
1,0.12805796
2,0.092108258
3,0.019029196
4,0.043136631
5,0.105943995
6,0.064636615
7,0.062755107
8,0.016011954
9,0.011963232
10,0.487420768
11,0.011179395
12,0.024372523
13,0.01300869
14,0.046388973
15,0.090910619
16,0.018269655
17,0.062725879
18,0.018269655
19,0.079159402
20,0.089138394
21,0.014502958
22,0.023689859
23,0.015163551
24,0.490552866
25,0.036918774
26,0.01573774
27,0.096183759
28,0.019132766
29,0.080546171
30,0.012144799
31,0.087494667
32,0.015673837
33,0.019311994
34,0.098845226
35,0.209016045
36,0.056743386
37,0.031306747
38,0.019421008
39,0.013430426
40,0.029168365
41,0.323087643
42,0.111940868
43,0.106975857
44,0.014049106
45,0.031348085
46,0.012543458
47,0.012543458
48,0.028774429
49,0.014753006
50,0.06006242
51,0.018269655
52,0.019749607
53,0.011834286
54,0.086072653
55,0.018568876
56,0.060707432
57,0.018269655
58,0.073277699
59,0.070219725
60,0.049602555
61,0.04629028
62,0.01249878
63,0.020458565
64,0.018023851
65,0.019185746
66,0.026911505
67,0.016011954
68,0.10421472
69,0.012868545
70,0.633614806
71,0.029723292
72,0.261926318
73,0.019655347
74,0.11546089
75,0.019655347
76,0.077548774
77,0.070274461
78,0.034795773
79,0.026082808
80,0.016756827
81,0.015835324
82,0.019655347
83,0.02055123
84,0.018269655
85,0.023791138
86,0.020766357
87,0.079159402
88,0.016053488
89,0.031788127
90,0.025210506
91,0.046501384
92,0.015682659
93,0.013430426
94,0.025511936
95,0.011834286
96,0.309950224
97,0.046267797
98,0.105125113
99,0.013586221
100,0.014753006
101,0.098845226
102,0.120094691
103,0.012839029
104,0.112244258
105,0.01995796
106,0.023630692
107,0.257426822
108,0.02512891
109,0.011834286
110,0.02228256
111,0.019132766
112,0.019421008
113,0.022471002
114,0.390337574
115,0.112278757
116,0.01249878
117,0.011963232
118,0.112278757
119,0.015505524
120,0.011834286
121,0.026863488
122,0.025143729
123,0.019655347
124,0.595118695
125,0.011963232
126,0.019655347
127,0.01300869
128,0.015869593
129,0.013033713
130,0.060568115
131,0.013430426
132,0.096295708
133,0.014753006
134,0.018624915
135,0.251866902
136,0.014502958
137,0.120076522
138,0.020766357
139,0.011834286
140,0.015505524
141,0.013586221
142,0.02078
143,0.012543458
144,0.019311994
145,0.440118753
146,0.014753006
147,0.014753006
148,0.023119614
149,0.012816126
150,0.063553025
151,0.01300869
152,0.015505524
153,0.013247238
154,0.024789404
155,0.017077743
156,0.022338836
157,0.036862387
158,0.012254124
159,0.254978849
160,0.022338836
161,0.01249878
162,0.018372647
163,0.024052735
164,0.068188332
165,0.013586221
166,0.027680585
167,0.72698019
168,0.024413252
169,0.118784891
170,0.015505524
171,0.01300869
172,0.024563019
173,0.01563322
174,0.067193985
175,0.021635551
176,0.388823511
177,0.02228256
178,0.087494667
179,0.020766357
180,0.017641225
181,0.011834286
182,0.01249878
183,0.031788127
184,0.021529479
185,0.213069387
186,0.022035297
187,0.014753006
188,0.04629028
189,0.086072653
190,0.019397063
191,0.019311994
192,0.062755834
193,0.019655347
194,0.142564939
195,0.015789818
196,0.046969474
197,0.019799691
198,0.011834286
199,0.011963232
200,0.014753006
201,0.10577763
202,0.045667038
203,0.102007972
204,0.094977023
205,0.028509207
206,0.021294706
207,0.012634874
208,0.012144799
209,0.10049876
210,0.012543458
211,0.096183759
212,0.041750781
213,0.018269655
214,0.012868545
215,0.024052735
216,0.110261417
217,0.011834286
218,0.059983455
219,0.021529479
220,0.013586221
221,0.015163551
222,0.011834286
223,0.025182283
224,0.019132766
225,0.011834286
226,0.098845226
227,0.011179395
228,0.153311852
229,0.092825695
230,0.300680546
231,0.118099777
232,0.02512891
233,0.019655347
234,0.025182283
235,0.012144799
236,0.161338846
237,0.311654485
238,0.012543458
239,0.015789818
240,0.02512891
241,0.086072653
242,0.019749607
243,0.011834286
244,0.046969474
245,0.129764499
246,0.01645304
247,0.030925399
248,0.011963232
249,0.012543458
250,0.391652485
251,0.096183759
252,0.079159402
253,0.011963232
254,0.086244846
255,0.012052092
256,0.015673837
257,0.046248214
258,0.096183759
259,0.029168365
260,0.098845226
261,0.011834286
262,0.023791138
263,0.01779116
264,0.062755834
265,0.129764499
266,0.01588007
267,0.041750781
268,0.055892725
269,0.094056413
270,0.014502958
271,0.075818917
272,0.037656476
273,0.012543458
274,0.014753006
275,0.015163551
276,0.032778388
277,0.042656992
278,0.014502958
279,0.133768155
280,0.043661178
281,0.693110472
282,0.032778388
283,0.065159786
284,0.022035297
285,0.014753006
286,0.012634874
287,0.014753006
288,0.018568876
289,0.11546089
290,0.100658308
291,0.068188332
292,0.015505524
293,0.043661178
294,0.015682659
295,0.01300869
296,0.031788127
297,0.019311994
298,0.051162846
299,0.014025119
300,0.018269655
301,0.050350633
302,0.011834286
303,0.02512891
304,0.017136494
305,0.453200006
306,0.017077743
307,0.012543458
308,0.487420768
309,0.14135559
310,0.013430426
311,0.476791831
312,0.011834286
313,0.124950486
314,0.05152137
315,0.062755834
316,0.130594665
317,0.027568586
318,0.016011954
319,0.012144799
320,0.152126915
321,0.09581047
322,0.017677963
323,0.016011954
324,0.011834286
325,0.086753927
326,0.016483919
327,0.024137074
328,0.019633524
329,0.019141969
330,0.012543458
331,0.011834286
332,0.016011954
333,0.013430426
334,0.05152137
335,0.019655347
336,0.087759084
337,0.018269655
338,0.096183759
339,0.01995796
340,0.014753006
341,0.011834286
342,0.0232101
343,0.02512891
344,0.062755834
345,0.040345069
346,0.023791138
347,0.427620155
348,0.091452218
349,0.022626146
350,0.012634874
351,0.016011954
352,0.060727198
353,0.011834286
354,0.139396341
355,0.01300869
356,0.01300869
357,0.433256723
358,0.013586221
359,0.117202329
360,0.112278757
361,0.028089945
362,0.012868545
363,0.011834286
364,0.01720853
365,0.096183759
366,0.068188332
367,0.036907151
